TIME,Cumulative dark ice extent in common area (km^2)
2016-05-31,0.0
2016-06-01,0.0
2016-06-02,0.377
2016-06-03,8.294
2016-06-04,8.294
2016-06-05,9.048
2016-06-06,9.802
2016-06-07,12.818
2016-06-08,55.796
2016-06-09,111.969
2016-06-10,122.148
2016-06-11,136.851
2016-06-12,140.244
2016-06-13,141.752
2016-06-14,143.26000000000002
2016-06-15,150.04600000000002
2016-06-16,155.324
2016-06-17,156.455
2016-06-18,160.22500000000002
2016-06-19,179.07500000000002
2016-06-20,182.46800000000002
2016-06-21,195.663
2016-06-22,198.30200000000002
2016-06-23,229.216
2016-06-24,252.967
2016-06-25,266.16200000000003
2016-06-26,267.293
2016-06-27,267.67
2016-06-28,279.357
2016-06-29,288.40500000000003
2016-06-30,293.30600000000004
2016-07-01,370.591
2016-07-02,370.591
2016-07-03,516.113
2016-07-04,740.051
2016-07-05,921.7650000000001
2016-07-06,1141.556
2016-07-07,1218.464
2016-07-08,1229.774
2016-07-09,1278.03
2016-07-10,1432.223
2016-07-11,1992.8220000000001
2016-07-12,2123.641
2016-07-13,2534.9480000000003
2016-07-14,2983.5780000000004
2016-07-15,3279.1460000000006
2016-07-16,5056.3240000000005
2016-07-17,5602.974
2016-07-18,6019.182
2016-07-19,6913.049
2016-07-20,7548.671
2016-07-21,7702.487
2016-07-22,7849.14
2016-07-23,7882.316000000001
2016-07-24,7952.438000000001
2016-07-25,7983.352000000001
2016-07-26,8041.787000000001
2016-07-27,8074.209000000001
2016-07-28,8104.746000000001
2016-07-29,8124.350000000001
2016-07-30,8153.379000000002
2016-07-31,8210.683
2016-08-01,8211.060000000001
2016-08-02,8219.354000000001
2016-08-03,8240.089000000002
2016-08-04,8248.383000000002
2016-08-05,8325.668000000001
2016-08-06,8365.253
2016-08-07,8445.177000000001
2016-08-08,8546.967000000002
2016-08-09,8549.606000000002
2016-08-10,8611.434000000001
2016-08-11,8614.073
2016-08-12,8623.121000000001
2016-08-13,8662.329000000002
2016-08-14,8670.246000000001
2016-08-15,8678.917000000001
2016-08-16,8695.882000000001
2016-08-17,8698.898000000001
2016-08-18,8703.045000000002
2016-08-19,8709.454000000002
2016-08-20,8712.093
2016-08-21,8720.387
2016-08-22,8722.649000000001
2016-08-23,8723.403000000002
2016-08-24,8725.665000000003
2016-08-25,8728.304000000002
