WL,n,k
0.3,1.5625,0.0011633081
0.31,1.5625,0.0011157512
0.32,1.5625,0.0010679508
0.33,1.5625,0.0010176142
0.34,1.5625,0.0009672776
0.35,1.5625,0.000924216
0.36,1.5625,0.0008943642
0.37,1.5625,0.0008645123
0.38,1.5625,0.0008346605
0.39,1.5625,0.0008088237
0.4,1.5625,0.0007904506
0.41,1.5625,0.0007720774
0.42,1.5625,0.0007537042
0.43,1.5625,0.000735331
0.44,1.5625,0.0007169579
0.45,1.5625,0.0007016157
0.46,1.5625,0.0006876334
0.47,1.5625,0.0006736511
0.48,1.5625,0.0006596687
0.49,1.5625,0.0006456864
0.5,1.5625,0.0006317041
0.51,1.5625,0.0006196508
0.52,1.5625,0.0006152132
0.53,1.5625,0.0006107756
0.54,1.5625,0.0006063381
0.55,1.5625,0.0006019005
0.56,1.5625,0.0005974629
0.57,1.5625,0.0005930253
0.58,1.5625,0.0005885877
0.59,1.5625,0.0005841501
0.6,1.5625,0.0005794774
0.61,1.5625,0.000573636
0.62,1.5625,0.0005677945
0.63,1.5625,0.000561953
0.64,1.5625,0.0005561116
0.65,1.5625,0.0005502701
0.66,1.5625,0.0005444286
0.67,1.5625,0.0005385872
0.68,1.5625,0.0005327457
0.69,1.5625,0.0005269043
0.7,1.5625,0.0005210628
0.71,1.5625,0.0005152213
0.72,1.5625,0.0005093799
0.73,1.5625,0.0005054008
0.74,1.5625,0.0005028591
0.75,1.5625,0.0005003173
0.76,1.5625,0.0004977756
0.77,1.5625,0.0004952338
0.78,1.5625,0.0004926921
0.79,1.5625,0.0004901503
0.8,1.5625,0.0004876086
0.81,1.5625,0.0004850668
0.82,1.5625,0.0004825251
0.83,1.5625,0.0004799833
0.84,1.5625,0.0004774416
0.85,1.5625,0.0004748998
0.86,1.5625,0.0004741411
0.87,1.5625,0.000474216
0.88,1.5625,0.0004742909
0.89,1.5625,0.0004743658
0.9,1.5625,0.0004744407
0.91,1.5625,0.0004745156
0.92,1.5625,0.0004745905
0.93,1.5625,0.0004746654
0.94,1.5625,0.0004747403
0.95,1.5625,0.0004748152
0.96,1.5625,0.0004748901
0.97,1.5625,0.0004749651
0.98,1.5625,0.00047504
0.99,1.5625,0.0004751149
1,1.5625,0.0004751898
1.01,1.5625,0.0004752647
1.02,1.5625,0.0004753396
1.03,1.5625,0.0004754145
1.04,1.5625,0.0004754894
1.05,1.5625,0.0004755643
1.06,1.5625,0.0004756392
1.07,1.5625,0.0004770847
1.08,1.5625,0.0004786818
1.09,1.5625,0.000480279
1.1,1.5625,0.0004818762
1.11,1.5625,0.0004834734
1.12,1.5625,0.0004850705
1.13,1.5625,0.0004866677
1.14,1.5625,0.0004882649
1.15,1.5625,0.0004898621
1.16,1.5625,0.0004914593
1.17,1.5625,0.0004930564
1.18,1.5625,0.0004946536
1.19,1.5625,0.0004962508
1.2,1.5625,0.000497848
1.21,1.5625,0.0004994452
1.22,1.5625,0.0005010423
1.23,1.5625,0.0005026395
1.24,1.5625,0.0005042367
1.25,1.5625,0.0005058339
1.26,1.5625,0.000507431
1.27,1.5625,0.0005090282
1.28,1.5625,0.0005106254
1.29,1.5625,0.0005152508
1.3,1.5625,0.0005216504
1.31,1.5625,0.00052805
1.32,1.5625,0.0005344496
1.33,1.5625,0.0005408492
1.34,1.5625,0.0005472488
1.35,1.5625,0.0005536484
1.36,1.5625,0.000560048
1.37,1.5625,0.0005664476
1.38,1.5625,0.0005728472
1.39,1.5625,0.0005792468
1.4,1.5625,0.0005856464
1.41,1.5625,0.000592046
1.42,1.5625,0.0005984455
1.43,1.5625,0.0006048451
1.44,1.5625,0.0006112447
1.45,1.5625,0.0006176443
1.46,1.5625,0.0006240439
1.47,1.5625,0.0006304435
1.48,1.5625,0.0006349225
1.49,1.5625,0.000639371
1.5,1.5625,0.0006438195
1.51,1.5625,0.0006482679
1.52,1.5625,0.0006527164
1.53,1.5625,0.0006571648
1.54,1.5625,0.0006616133
1.55,1.5625,0.0006660617
1.56,1.5625,0.0006705102
1.57,1.5625,0.0006749586
1.58,1.5625,0.0006794071
1.59,1.5625,0.0006838555
1.6,1.5625,0.000688304
1.61,1.5625,0.0006927524
1.62,1.5625,0.0006972009
1.63,1.5625,0.0007016493
1.64,1.5625,0.0007060978
1.65,1.5625,0.0007105462
1.66,1.5625,0.0007149947
1.67,1.5625,0.0007194432
1.68,1.5625,0.0007238916
1.69,1.5625,0.0007298138
1.7,1.5625,0.0007367386
1.71,1.5625,0.0007436634
1.72,1.5625,0.0007505882
1.73,1.5625,0.0007575131
1.74,1.5625,0.0007644379
1.75,1.5625,0.0007713627
1.76,1.5625,0.0007782875
1.77,1.5625,0.0007852123
1.78,1.5625,0.0007921371
1.79,1.5625,0.0007990619
1.8,1.5625,0.0008059867
1.81,1.5,0.0008129116
1.82,1.5,0.0008198364
1.83,1.5,0.0008267612
1.84,1.5,0.000833686
1.85,1.5,0.0008406108
1.86,1.5,0.0008475356
1.87,1.5,0.0008544604
1.88,1.5,0.0008613852
1.89,1.5,0.00086831
1.9,1.5,0.0008752349
1.91,1.5,0.0008821597
1.92,1.5,0.0008890845
1.93,1.5,0.0008964601
1.94,1.5,0.0009067603
1.95,1.5,0.0009170605
1.96,1.5,0.0009273606
1.97,1.5,0.0009376608
1.98,1.5,0.000947961
1.99,1.5,0.0009582612
2,1.5,0.0009685614
2.01,1.5,0.0009788616
2.02,1.5,0.0009891618
2.03,1.5,0.000999462
2.04,1.5,0.0010097622
2.05,1.5,0.0010200624
2.06,1.5,0.0010303626
2.07,1.5,0.0010406627
2.08,1.5,0.0010509629
2.09,1.5,0.0010612631
2.1,1.5,0.0010715633
2.11,1.5,0.0010818635
2.12,1.5,0.0010921637
2.13,1.5,0.0011024639
2.14,1.5,0.0011127641
2.15,1.5,0.0011230643
2.16,1.5,0.0011333645
2.17,1.5,0.0011436647
2.18,1.5,0.0011539649
2.19,1.5,0.001164265
2.2,1.5,0.0011745652
2.21,1.5,0.0011851264
2.22,1.5,0.0011970174
2.23,1.5,0.0012089084
2.24,1.5,0.0012207993
2.25,1.5,0.0012326903
2.26,1.5,0.0012445813
2.27,1.5,0.0012564723
2.28,1.5,0.0012683632
