WL,n,k
0.3,1.185,0.0005539261
0.31,1.185,0.0004853335
0.32,1.185,0.0003971523
0.33,1.185,0.0003360807
0.34,1.185,0.000286656
0.35,1.185,0.0002494364
0.36,1.185,0.0002195001
0.37,1.185,0.0001954412
0.38,1.185,0.0001786635
0.39,1.185,0.000163249
0.4,1.185,0.0001513364
0.41,1.185,0.0001412423
0.42,1.185,0.0001300379
0.43,1.185,0.0001191826
0.44,1.185,0.0001095429
0.45,1.185,0.0001008659
0.46,1.185,9.29302467664473E-05
0.47,1.185,8.6720770622123E-05
0.48,1.185,8.23056400535692E-05
0.49,1.185,7.79204356852972E-05
0.5,1.185,7.51031095745145E-05
0.51,1.185,7.19762685714646E-05
0.52,1.185,0.000070361
0.53,1.185,6.86677942887706E-05
0.54,1.185,6.41332446900024E-05
0.55,1.185,6.10165338576156E-05
0.56,1.185,5.7998818508427E-05
0.57,1.185,5.6299409260592E-05
0.58,1.185,0.000055698
0.59,1.185,5.37231023493073E-05
0.6,1.185,5.33561065651462E-05
0.61,1.185,5.33251347508532E-05
0.62,1.185,5.32941532394464E-05
0.63,1.185,5.27927860686855E-05
0.64,1.185,0.000051807
0.65,1.185,5.15246763397566E-05
0.66,1.185,5.03198574687918E-05
0.67,1.185,4.97913756952093E-05
0.68,1.185,4.72511116874265E-05
0.69,1.185,4.59247153987814E-05
0.7,1.185,4.4599585553935E-05
0.71,1.185,4.14141943070932E-05
0.72,1.185,4.01577176360954E-05
0.73,1.185,3.93176613141573E-05
0.74,1.185,0.000037274
0.75,1.185,3.57892367933812E-05
0.76,1.185,3.46901637618786E-05
0.77,1.185,3.43020943788403E-05
0.78,1.185,3.28459279094888E-05
0.79,1.185,0.000032815
0.8,1.185,0.000032784
0.81,1.185,3.27529425388587E-05
0.82,1.185,3.2721911845892E-05
0.83,1.185,3.26908811529252E-05
0.84,1.185,3.26598504599585E-05
0.85,1.185,3.26288197669917E-05
0.86,1.185,3.2597789074025E-05
0.87,1.185,3.25667583810582E-05
0.88,1.185,3.25357276880915E-05
0.89,1.185,3.25046969951247E-05
0.9,1.185,3.2473666302158E-05
0.91,1.185,3.24426356091912E-05
0.92,1.185,3.24116049162245E-05
0.93,1.185,3.23805742232578E-05
0.94,1.185,3.2349543530291E-05
0.95,1.185,3.23185128373243E-05
0.96,1.185,3.22874821443575E-05
0.97,1.185,3.22564514513908E-05
0.98,1.185,3.2225420758424E-05
0.99,1.185,3.21943900654573E-05
1,1.185,3.21633593724905E-05
1.01,1.185,3.21323286795238E-05
1.02,1.185,3.2101297986557E-05
1.03,1.185,3.20702672935903E-05
1.04,1.185,3.20392366006235E-05
1.05,1.185,3.20082059076568E-05
1.06,1.185,3.197717521469E-05
1.07,1.185,3.19461445217233E-05
1.08,1.185,3.19151138287565E-05
1.09,1.185,3.18840831357898E-05
1.1,1.185,3.1853052442823E-05
1.11,1.185,0.000031822
1.12,1.185,0.000031791
1.13,1.185,0.00003176
1.14,1.185,3.1728929670956E-05
1.15,1.185,3.16978989779893E-05
1.16,1.185,3.16668682850226E-05
1.17,1.185,3.16358375920558E-05
1.18,1.185,3.16048068990891E-05
1.19,1.185,3.15737762061223E-05
1.2,1.185,3.15427455131556E-05
1.21,1.185,3.15117148201888E-05
1.22,1.185,3.14806841272221E-05
1.23,1.185,3.14496534342553E-05
1.24,1.185,3.14186227412886E-05
1.25,1.185,3.13875920483218E-05
1.26,1.185,3.13565613553551E-05
1.27,1.185,3.13255306623883E-05
