,,,,,,,,,,,,,,,
1. Original Dataset from McCutcheon et al (2019),,,,,,,,,,,,,,,
,Quartz,Andesine,Albite,anorthite,orthoclase,microcline,actinolite,enstatite,augite,diopside,muscovite,kaolinite,illite,,
,21.2,22.7,18.2,0,4,5.1,10.5,4.6,2,0,5.6,3.2,1.7,,
,20.8,23.3,19.5,0,2.2,6.2,12,5.2,3.8,0,4.6,2.5,0,,
,20.4,20.9,21.6,0,1.7,6.4,11.7,6.3,3.9,0,3.8,2.3,0.8,,
,24.1,33.4,10.2,7.9,6,4.5,8.7,1.9,0,0,2,1.1,0,,
,22.2,36.9,6.2,8.8,4.4,5.1,10.1,1.9,0,0.9,2.1,1.3,0,,
,24.5,40.6,5.8,6,3.7,8,7.7,1.2,0,0,1.6,0.5,0,,
,22.7,41.4,6.7,6.3,5.8,4.3,8,0.6,0.9,2.2,0.7,0,0,,
,30.1,46.4,4.7,0,4.7,7.6,3.9,0.8,0,0,1.5,0.4,0,,
,26.4,42.7,10.6,0,4.8,5.4,4.1,1.1,1.1,0,2,1.4,0,,
,21.2,23.2,17.8,8.4,4.4,4.3,8.2,4.9,1.3,1.9,2.5,1.3,0,,
,24.8,22.1,21.9,6.6,1.8,4.9,6.2,4.8,3.3,0,2.5,1,0,,
,21.4,24.4,14.6,13.4,2,5.4,7.2,3.2,3.4,0,3.2,1.2,0,,
,27.9,40.2,6.2,5.3,4.7,5.4,6.1,1.2,0,0,0,1.1,0,,Sum
Mean,23.6692307692,32.1692307692,12.6153846154,4.8230769231,3.8615384615,5.5846153846,8.0307692308,2.9,1.5153846154,0.3846153846,2.4692307692,1.3307692308,0.1923076923,,99.5461538462
Min,20.4,20.9,4.7,0,1.7,4.3,3.9,0.6,0,0,0,0,0,,56.5
Max,30.1,46.4,21.9,13.4,6,8,12,6.3,3.9,2.2,5.6,3.2,1.7,,160.7
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
density g/cm3,2.65,2.67,2.62,2.73,2.53,2.56,3.13,3.2,3.4,3.4,2.82,2.62,2.75,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
2. Original data grouped into mineral types with Ris,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"Feldspars = sum of Andesine, albite, anorthite,othoclase,microcline",,,,,,,,,,,,,,,
"Pyroxene = sum of enstatite,augit, diopside",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,Quartz,Andesite,Amphibole,Pyroxene,kaolinite,Illite,Muscovite,,,,,,,,
,21.2,50,10.5,6.6,3.2,1.7,5.6,,,,,,,,
,20.8,51.2,12,9,2.5,0,4.6,,,,,,,,
,20.4,50.6,11.7,10.2,2.3,0.8,3.8,,,,,,,,
,24.1,62,8.7,1.9,1.1,0,2,,,,,,,,
