WL,k
307.2131653423,0.0005088951
308.8119764661,0.0004989139
310.4332008299,0.0004803815
312.0394830337,0.0004675499
314.4545096495,0.0004461648
317.6670740571,0.0004205016
319.2882984209,0.0004019693
323.2909295404,0.0003748785
324.8897406642,0.0003648973
327.2823540399,0.0003520633
328.8811651637,0.0003420821
330.4762407474,0.0003335261
332.8688541231,0.000320692
335.2539964188,0.0003107084
336.8528075425,0.0003007272
339.2379498382,0.0002907436
340.833025422,0.0002821876
343.2144321776,0.0002736291
346.3896411851,0.0002622179
349.5648501927,0.0002508066
352.7363236602,0.0002408205
355.9115326677,0.0002294093
359.0755350552,0.0002222736
361.4532062708,0.0002151403
364.6172086583,0.0002080046
367.7849465858,0.0001994437
371.7352801452,0.0001923056
375.6856137046,0.0001851675
380.4222784358,0.0001780269
383.5825452833,0.0001723164
387.5291433026,0.0001666035
390.6856746101,0.0001623181
394.6285370894,0.0001580304
397.7850683969,0.0001537451
401.7279308763,0.0001494573
405.6707933556,0.0001451696
410.3999870068,0.0001408794
415.132916198,0.000135164
419.0757786774,0.0001308763
425.3813702123,0.000125156
430.9043661154,0.000118013
438.7863555341,0.0001108627
442.7292180134,0.000106575
448.2447428365,0.0001022823
455.3366655433,9.65596488592391E-05
460.8521903664,0.000092267
465.5776484776,0.000089402
470.3031065888,0.000086537
477.3875582155,8.36647271634663E-05
482.8993474986,8.07972941697151E-05
489.9837991254,0.000077925
500.2135754396,7.50429384082539E-05
508.8706894102,7.21657605275231E-05
517.5240678407,7.07137723675609E-05
527.7501086149,6.92569117641087E-05
533.2581623579,6.7814668491126E-05
541.1326806966,6.35147371113718E-05
551.3624570108,6.06326867871512E-05
560.8059021532,5.77530726846757E-05
568.6729494119,5.63035207464583E-05
576.5362611305,5.62791585290093E-05
585.189639561,5.48271703690469E-05
591.4840244759,5.33824908743193E-05
600.1336673664,5.33556924351253E-05
607.2106479132,5.33337664394213E-05
615.8602908037,0.000053307
622.1509401786,5.32874782262681E-05
628.4415895535,0.000053268
633.1633121247,5.18281814010711E-05
638.6676303277,5.18111278488567E-05
643.3856173589,5.17965105183873E-05
648.8899355619,5.1779456966173E-05
655.1843204769,5.03347774714454E-05
660.6886386799,5.0317723919231E-05
666.9792880548,5.02982341452718E-05
675.6326664853,4.88462459853095E-05
683.503449284,4.59715043263237E-05
689.7940986589,0.000045952
700.806470605,4.44927177271674E-05
708.6772534036,0.000041618
718.116963006,4.01635516864745E-05
725.9802747246,4.01391894690253E-05
733.0609908114,3.86920737525529E-05
740.1417068982,0.000037245
747.2224229849,3.57978423196078E-05
751.9404100161,3.57832249891384E-05
755.8720658754,0.000035771
761.3801196185,3.43288006074312E-05
764.5254443059,3.43190557204516E-05
767.6707689934,3.4309310833472E-05
770.8160936808,3.42995659464924E-05
773.9614183683,3.42898210595128E-05
778.6831409395,0.00003285
781.0421344551,3.28427053430402E-05
784.1874591425,0.000032833
787.33278383,3.2823215569081E-05
790.4781085174,3.28134706821014E-05
793.6234332049,3.28037257951218E-05
796.7687578923,0.000032794
800.7004137517,3.27817997994176E-05
