Bin (um),Frequency (%)
<0.1,3.2822757112
0.1 =< d <=0.2,10.9409190372
0.2 =< d < 0.3,13.1291028446
0.3 =< d < 0.4,10.5032822757
0.4 =< d < 0.5,8.533916849
0.5 =< d < 0.6,5.2516411379
0.6 =< d < 0.7,4.3763676149
0.7 =< d < 0.8,3.9387308534
0.8 =< d < 0.9,2.8446389497
0.9 =< d < 1.0,2.1881838074
1.0 =< d < 2.0,13.7855579869
2.0=< d < 3.0,6.5645514223
3.0 =< d < 4.0,4.1575492341
4.0 =< d < 5.0,1.9693654267
5.0 =< d < 10.0,4.8140043764
10.0 =< d < 20,2.8446389497
20 =< d < 30,0.6564551422
30 =< d < 40,0.2188183807
